series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result,series_views
5,7,Nancy,NA,NA,NA,NA,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,NA,NA,NA
5,7,Richard,NA,NA,NA,NA,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",NA,NA,NA
5,8,Chetna,NA,NA,NA,NA,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,NA,NA,NA
5,8,Luis,NA,NA,NA,NA,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",NA,NA,NA
5,8,Martha,NA,NA,NA,NA,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,NA,NA,NA
5,8,Nancy,NA,NA,NA,NA,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",NA,NA,NA
5,8,Richard,NA,NA,NA,NA,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,NA,NA,NA
5,9,Chetna,NA,NA,NA,NA,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",NA,NA,NA
5,9,Luis,NA,NA,NA,NA,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",NA,NA,NA
5,9,Nancy,NA,NA,NA,NA,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,NA,NA,NA
5,9,Richard,NA,NA,NA,NA,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,NA,NA,NA
5,10,Luis,NA,NA,NA,NA,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,NA,NA,NA
5,10,Nancy,NA,NA,NA,NA,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,NA,NA,NA
5,10,Richard,NA,NA,NA,NA,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,NA,NA,NA
6,1,Alvin,NA,NA,NA,NA,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,NA,NA,NA
6,1,Dorret,NA,NA,NA,NA,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,NA,NA,NA
6,1,Flora,NA,NA,NA,NA,Blood Orange Madeira Cake,Black Forest Gâteau,NA,NA,NA
6,1,Ian,NA,NA,NA,NA,Somewhere West of Madeira Cake,Black Forest Cherry Tree,NA,NA,NA
6,1,Marie,NA,NA,NA,NA,Zingy Citrus Madeira Cake,A Walk in the Black Forest,NA,NA,NA
6,1,Mat,NA,NA,NA,NA,Gin and Tonic Madeira Cake,Black Forest Gateau,NA,NA,NA
6,1,Nadiya,NA,NA,NA,NA,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,NA,NA,NA
6,1,Paul,NA,NA,NA,NA,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,NA,NA,NA
6,1,Sandy,NA,NA,NA,NA,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,NA,NA,NA
6,1,Stu,NA,NA,NA,NA,Marley Madeira Cake,Purple Forest Gâteau,NA,NA,NA
6,1,Tamal,NA,NA,NA,NA,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,NA,NA,NA
6,1,Ugnė,NA,NA,NA,NA,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,NA,NA,NA
6,2,Alvin,NA,NA,NA,NA,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,NA,NA,NA
6,2,Dorret,NA,NA,NA,NA,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,NA,NA,NA
6,2,Flora,NA,NA,NA,NA,Wedding Biscotti,Honey and Earl Grey Tea Box,NA,NA,NA
6,2,Ian,NA,NA,NA,NA,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,NA,NA,NA
6,2,Marie,NA,NA,NA,NA,Biscotti Italiano,Russian Box,NA,NA,NA
6,2,Mat,NA,NA,NA,NA,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,NA,NA,NA
6,2,Nadiya,NA,NA,NA,NA,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,NA,NA,NA
6,2,Paul,NA,NA,NA,NA,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,NA,NA,NA
6,2,Sandy,NA,NA,NA,NA,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,NA,NA,NA
6,2,Tamal,NA,NA,NA,NA,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,NA,NA,NA
6,2,Ugnė,NA,NA,NA,NA,White Wine Biscotti,Baby Climbing into the Cookie Box,NA,NA,NA
6,3,Alvin,NA,NA,NA,NA,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,NA,NA,NA
6,3,Dorret,NA,NA,NA,NA,Walnut and Stilton Soda Breads,Unmade Bread,NA,NA,NA
6,3,Flora,NA,NA,NA,NA,Fig and Hazelnut Rye Breads,Herb Couture,NA,NA,NA
6,3,Ian,NA,NA,NA,NA,Wild Garlic Pesto Soda Breads,Flour Power,NA,NA,NA
6,3,Mat,NA,NA,NA,NA,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,NA,NA,NA
6,3,Nadiya,NA,NA,NA,NA,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,NA,NA,NA
6,3,Paul,NA,NA,NA,NA,Cranberry and Orange Sweet Soda Breads,King of the Jungle,NA,NA,NA
6,3,Sandy,NA,NA,NA,NA,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,NA,NA,NA
6,3,Tamal,NA,NA,NA,NA,"Fig, Cheese and Walnut Breads",Breadcycle,NA,NA,NA
6,3,Ugnė,NA,NA,NA,NA,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,NA,NA,NA
6,4,Alvin,NA,NA,NA,NA,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,NA,NA,NA
6,4,Flora,NA,NA,NA,NA,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,NA,NA,NA
6,4,Ian,NA,NA,NA,NA,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,NA,NA,NA
6,4,Mat,NA,NA,NA,NA,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,NA,NA,NA
6,4,Nadiya,NA,NA,NA,NA,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,NA,NA,NA
6,4,Paul,NA,NA,NA,NA,Almond Crème Brûlées,Berry Cheesecake Tower,NA,NA,NA
6,4,Sandy,NA,NA,NA,NA,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",NA,NA,NA
6,4,Tamal,NA,NA,NA,NA,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",NA,NA,NA
6,4,Ugnė,NA,NA,NA,NA,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",NA,NA,NA
6,5,Alvin,NA,NA,NA,NA,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",NA,NA,NA
6,5,Flora,NA,NA,NA,NA,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,NA,NA,NA
6,5,Ian,NA,NA,NA,NA,Honey and Flowers Cake,Dessert Island,NA,NA,NA
6,5,Mat,NA,NA,NA,NA,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,NA,NA,NA
6,5,Nadiya,NA,NA,NA,NA,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,NA,NA,NA
6,5,Paul,NA,NA,NA,NA,Carrot & Pecan Cake,Dessert Island Getaway,NA,NA,NA
6,5,Tamal,NA,NA,NA,NA,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,NA,NA,NA
6,5,Ugnė,NA,NA,NA,NA,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",NA,NA,NA
6,6,Alvin,NA,NA,NA,NA,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,NA,NA,NA
6,6,Flora,NA,NA,NA,NA,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,NA,NA,NA
6,6,Ian,NA,NA,NA,NA,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,NA,NA,NA
6,6,Mat,NA,NA,NA,NA,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,NA,NA,NA
6,6,Nadiya,NA,NA,NA,NA,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,NA,NA,NA
6,6,Paul,NA,NA,NA,NA,Christmas Frangipane Tart,Savoury and Sweet Bouchées,NA,NA,NA
6,6,Tamal,NA,NA,NA,NA,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,NA,NA,NA
6,7,Flora,NA,NA,NA,NA,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",NA,NA,NA
6,7,Ian,NA,NA,NA,NA,Roadkill Pie,Victoria's Crown Charlotte Russe,NA,NA,NA
6,7,Mat,NA,NA,NA,NA,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,NA,NA,NA
6,7,Nadiya,NA,NA,NA,NA,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,NA,NA,NA
6,7,Paul,NA,NA,NA,NA,Not a Boaring Pie,Charlotte Rose,NA,NA,NA
6,7,Tamal,NA,NA,NA,NA,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",NA,NA,NA
6,8,Flora,NA,NA,NA,NA,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,NA,NA,NA
6,8,Ian,NA,NA,NA,NA,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,NA,NA,NA
6,8,Nadiya,NA,NA,NA,NA,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,NA,NA,NA
6,8,Paul,NA,NA,NA,NA,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,NA,NA,NA
6,8,Tamal,NA,NA,NA,NA,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,NA,NA,NA
6,9,Flora,NA,NA,NA,NA,Passion Fruit and Chocolate Tart,Cocoa Carousel,NA,NA,NA
6,9,Ian,NA,NA,NA,NA,Chocolate and Bay Tart,Chocolate Well,NA,NA,NA
6,9,Nadiya,NA,NA,NA,NA,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,NA,NA,NA
6,9,Tamal,NA,NA,NA,NA,Chocolate New York Pie,Chocolate Bell Tower,NA,NA,NA
6,10,Ian,NA,NA,NA,NA,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,NA,NA,NA
6,10,Nadiya,NA,NA,NA,NA,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,NA,NA,NA
6,10,Tamal,NA,NA,NA,NA,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,NA,NA,NA
7,1,Andrew,NA,NA,NA,NA,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,NA,NA,NA
7,1,Benjamina,NA,NA,NA,NA,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,NA,NA,NA
7,1,Candice,NA,NA,NA,NA,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",NA,NA,NA
7,1,Jane,NA,NA,NA,NA,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,NA,NA,NA
7,1,Kate,NA,NA,NA,NA,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,NA,NA,NA
7,1,Lee,NA,NA,NA,NA,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,NA,NA,NA
7,1,Louise,NA,NA,NA,NA,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,NA,NA,NA
7,1,Michael,NA,NA,NA,NA,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,NA,NA,NA
7,1,Rav,NA,NA,NA,NA,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,NA,NA,NA
7,1,Selasi,NA,NA,NA,NA,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",NA,NA,NA
7,1,Tom,NA,NA,NA,NA,G&T Drizzle Cake,Black Forest Broken Mirror,NA,NA,NA
7,1,Val,NA,NA,NA,NA,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,NA,NA,NA
7,2,Andrew,NA,NA,NA,NA,Beehive Biscuits,Punting in Cambridge,NA,NA,NA
7,2,Benjamina,NA,NA,NA,NA,Bouquet Biscuits,"New York, New York",NA,NA,NA
7,2,Candice,NA,NA,NA,NA,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,NA,NA,NA
7,2,Jane,NA,NA,NA,NA,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,NA,NA,NA
7,2,Kate,NA,NA,NA,NA,"""A Biscuit for the Broads""","""I Promise I will do my best""",NA,NA,NA
7,2,Louise,NA,NA,NA,NA,Baa Bara Brith Biscuits,Gingerbread Wedding,NA,NA,NA
7,2,Michael,NA,NA,NA,NA,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,NA,NA,NA
7,2,Rav,NA,NA,NA,NA,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,NA,NA,NA
7,2,Selasi,NA,NA,NA,NA,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,NA,NA,NA
7,2,Tom,NA,NA,NA,NA,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,NA,NA,NA
7,2,Val,NA,NA,NA,NA,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,NA,NA,NA
7,3,Andrew,NA,NA,NA,NA,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,NA,NA,NA
7,3,Benjamina,NA,NA,NA,NA,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,NA,NA,NA
7,3,Candice,NA,NA,NA,NA,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,NA,NA,NA
7,3,Jane,NA,NA,NA,NA,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,NA,NA,NA
7,3,Kate,NA,NA,NA,NA,Cobbled Loaf,The Corn Maiden,NA,NA,NA
7,3,Michael,NA,NA,NA,NA,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,NA,NA,NA
7,3,Rav,NA,NA,NA,NA,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,NA,NA,NA
7,3,Selasi,NA,NA,NA,NA,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,NA,NA,NA
7,3,Tom,NA,NA,NA,NA,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,NA,NA,NA
7,3,Val,NA,NA,NA,NA,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",NA,NA,NA
7,4,Andrew,NA,NA,NA,NA,Yorkshire 'Tapas' Puddings,Churros Window Box,NA,NA,NA
7,4,Benjamina,NA,NA,NA,NA,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,NA,NA,NA
7,4,Candice,NA,NA,NA,NA,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,NA,NA,NA
7,4,Jane,NA,NA,NA,NA,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,NA,NA,NA
7,4,Kate,NA,NA,NA,NA,Christmas Dinner Compromise,Hot Cross Bunny Churros,NA,NA,NA
7,4,Rav,NA,NA,NA,NA,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,NA,NA,NA
7,4,Selasi,NA,NA,NA,NA,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,NA,NA,NA
7,4,Tom,NA,NA,NA,NA,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,NA,NA,NA
7,4,Val,NA,NA,NA,NA,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,NA,NA,NA
7,5,Andrew,NA,NA,NA,NA,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,NA,NA,NA
7,5,Benjamina,NA,NA,NA,NA,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,NA,NA,NA
7,5,Candice,NA,NA,NA,NA,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",NA,NA,NA
7,5,Jane,NA,NA,NA,NA,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",NA,NA,NA
7,5,Rav,NA,NA,NA,NA,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,NA,NA,NA
7,5,Selasi,NA,NA,NA,NA,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",NA,NA,NA
7,5,Tom,NA,NA,NA,NA,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,NA,NA,NA
7,5,Val,NA,NA,NA,NA,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",NA,NA,NA
7,6,Andrew,NA,NA,NA,NA,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,NA,NA,NA
7,6,Benjamina,NA,NA,NA,NA,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,NA,NA,NA
7,6,Candice,NA,NA,NA,NA,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,NA,NA,NA
7,6,Jane,NA,NA,NA,NA,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,NA,NA,NA
7,6,Rav,NA,NA,NA,NA,Mandarin Margarita Meringue Pie,Blossom Cake,NA,NA,NA
7,6,Selasi,NA,NA,NA,NA,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,NA,NA,NA
7,6,Tom,NA,NA,NA,NA,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,NA,NA,NA
7,7,Andrew,NA,NA,NA,NA,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,NA,NA,NA
7,7,Benjamina,NA,NA,NA,NA,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,NA,NA,NA
7,7,Candice,NA,NA,NA,NA,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,NA,NA,NA
7,7,Jane,NA,NA,NA,NA,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",NA,NA,NA
7,7,Selasi,NA,NA,NA,NA,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",NA,NA,NA
7,7,Tom,NA,NA,NA,NA,Millionaire's Roulade,Hipster Picnic,NA,NA,NA
7,8,Andrew,NA,NA,NA,NA,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,NA,NA,NA
7,8,Benjamina,NA,NA,NA,NA,Mexican Adventure,Tudor Garden,NA,NA,NA
7,8,Candice,NA,NA,NA,NA,Cheesy Cheeky Fish Pies,Peacock,NA,NA,NA
7,8,Jane,NA,NA,NA,NA,Tudor Rose Pies,Swans,NA,NA,NA
7,8,Selasi,NA,NA,NA,NA,Bouquet of Flowers,Fruity Tudor Marchpane,NA,NA,NA
7,9,Andrew,NA,NA,NA,NA,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,NA,NA,NA
7,9,Candice,NA,NA,NA,NA,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,NA,NA,NA
7,9,Jane,NA,NA,NA,NA,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,NA,NA,NA
7,9,Selasi,NA,NA,NA,NA,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,NA,NA,NA
7,10,Andrew,NA,NA,NA,NA,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,NA,NA,NA
7,10,Candice,NA,NA,NA,NA,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,NA,NA,NA
7,10,Jane,NA,NA,NA,NA,"Red, White and Blue Meringue Crown",Family Favourites Feast,NA,NA,NA
8,1,Chris,NA,NA,NA,NA,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,NA,NA,NA
8,1,Flo,NA,NA,NA,NA,Citrus Layer Cake,'One in a Melon' Cake,NA,NA,NA
8,1,James,NA,NA,NA,NA,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,NA,NA,NA
8,1,Julia,NA,NA,NA,NA,Courgette and Lemon Cake,'Russian Doll' Cake,NA,NA,NA
8,1,Kate,NA,NA,NA,NA,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,NA,NA,NA
8,1,Liam,NA,NA,NA,NA,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,NA,NA,NA
8,1,Peter,NA,NA,NA,NA,Coconut Cake,'Bread on a Breadboard' Cake,NA,NA,NA
8,1,Sophie,NA,NA,NA,NA,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,NA,NA,NA
8,1,Stacey,NA,NA,NA,NA,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,NA,NA,NA
8,1,Steven,NA,NA,NA,NA,Bonfire Night Cake,'A Baker's Lunch' Cake,NA,NA,NA
8,1,Tom,NA,NA,NA,NA,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,NA,NA,NA
8,1,Yan,NA,NA,NA,NA,Windfall Apple Crumble Cake,'Banana-ramen' Cake,NA,NA,NA
8,2,Chris,NA,NA,NA,NA,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,NA,NA,NA
8,2,Flo,NA,NA,NA,NA,Gin Jam Butties,'Pick My Bones' Game,NA,NA,NA
8,2,James,NA,NA,NA,NA,Rhubarb and Custard Whirls,'Coppit' Game,NA,NA,NA
8,2,Julia,NA,NA,NA,NA,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,NA,NA,NA
8,2,Kate,NA,NA,NA,NA,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,NA,NA,NA
8,2,Liam,NA,NA,NA,NA,Coffee Malted Pecan Shorties,'Classroom Classics' Game,NA,NA,NA
8,2,Sophie,NA,NA,NA,NA,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,NA,NA,NA
8,2,Stacey,NA,NA,NA,NA,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,NA,NA,NA
8,2,Steven,NA,NA,NA,NA,Amarpressi Biscuits,'Check Bake' Game,NA,NA,NA
8,2,Tom,NA,NA,NA,NA,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,NA,NA,NA
8,2,Yan,NA,NA,NA,NA,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,NA,NA,NA
8,3,Flo,NA,NA,NA,NA,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,NA,NA,NA
8,3,James,NA,NA,NA,NA,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,NA,NA,NA
8,3,Julia,NA,NA,NA,NA,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,NA,NA,NA
8,3,Kate,NA,NA,NA,NA,Blueberry Buns,'Kraken' Bread Sculpture,NA,NA,NA
8,3,Liam,NA,NA,NA,NA,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,NA,NA,NA
8,3,Sophie,NA,NA,NA,NA,Tagine Teacakes,'Picnic Basket' Bread Sculpture,NA,NA,NA
8,3,Stacey,NA,NA,NA,NA,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,NA,NA,NA
8,3,Steven,NA,NA,NA,NA,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,NA,NA,NA
8,3,Tom,NA,NA,NA,NA,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,NA,NA,NA
8,3,Yan,NA,NA,NA,NA,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,NA,NA,NA
8,4,James,NA,NA,NA,NA,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,NA,NA,NA
8,4,Julia,NA,NA,NA,NA,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,NA,NA,NA
8,4,Kate,NA,NA,NA,NA,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,NA,NA,NA
8,4,Liam,NA,NA,NA,NA,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,NA,NA,NA
8,4,Sophie,NA,NA,NA,NA,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,NA,NA,NA
8,4,Stacey,NA,NA,NA,NA,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,NA,NA,NA
8,4,Steven,NA,NA,NA,NA,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,NA,NA,NA
8,4,Tom,NA,NA,NA,NA,Stem Ginger Caramel Shortbreads,Hummingbird Cake,NA,NA,NA
8,4,Yan,NA,NA,NA,NA,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,NA,NA,NA
8,5,James,NA,NA,NA,NA,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,NA,NA,NA
